symbol_a,symbol_b,pvalue,half_life
AGG,BND,2.8640776469656256e-09,2.8709304254027996
IYR,VNQ,0.012896478487310573,12.526814723505812
EWJ,VEA,0.00012384861347124074,12.948638493335967
VPU,XLU,0.0022031141013740814,13.069710922139848
MDY,UNG,0.00030627364302022276,13.862064047879059
VOO,VTI,0.003834225783981843,14.391514181036008
UNG,VAW,0.0004725530949277659,14.506359868078762
TIP,VPU,0.003155030993032722,14.842701164134278
IVV,VTI,0.0041715423694174145,14.850641554226456
UNG,XLB,0.0005908512919520874,14.879318698850032
TIP,VWO,0.0006316611247998262,15.025292123807255
TIP,XLU,0.003259274151421392,15.11776538573547
DIA,JNK,0.001592604019901297,16.27058606961734
EEM,EWJ,0.001296957403596574,16.302470902337344
NVDA,QUAL,0.001260863209219823,16.47421126821427
DIA,LQD,0.0012579531788517334,16.6849231812217
BND,DIA,0.0025567811012450537,16.75381502463561
AGG,DIA,0.0007943660081595668,17.00480355337989
TIP,XLI,0.0005735959992716853,17.173184760996392
EFA,TIP,0.0018268716126245035,17.190141253625647
VDE,XLE,0.006382568015284683,17.19205854107591
IYR,XLP,0.0008081011549259977,17.391100922260197
GLD,VWO,0.0022973593186188072,17.419646148204794
UNG,VIS,0.002087884163033663,17.477034613398786
HYG,SHY,0.00041648142818126937,17.524742950448953
IEFA,TIP,0.0022559547459382835,17.56468389774913
QUAL,UNG,0.0017110555980946861,17.675575136463976
UNG,XLK,0.0028774434377175483,17.764979026673917
VNQ,XLP,0.0009688271360625377,17.77891951877391
IEF,IEFA,0.0017446921271942622,17.793175093580526
IEF,VWO,0.0017464683160464426,17.802985671683242
QQQ,TIP,0.0005460889403883075,17.928686042136693
IYR,LQD,0.008810190165166758,18.022065614478823
EFA,GLD,0.002857799041962298,18.03389921156775
NVDA,USMV,0.0018314484443716068,18.124638393039042
BND,VTV,0.006189042860331215,18.151276705885444
SPY,TIP,0.000537662772927575,18.15894168924
NVDA,VDC,0.0004599289598964985,18.192438782011926
BND,XLI,0.001467429975837556,18.20175277427062
AGG,VTV,0.005717205781513818,18.278564909406196
DIA,TIP,0.0006804099826651998,18.29549882115382
AGG,XLI,0.0015106694489957831,18.30668010199336
GDX,GDXJ,0.0024745240445521346,18.333003656431078
IVV,TIP,0.0005736122677857439,18.36609705495551
SPY,VTI,0.003020726897538353,18.41610218046721
IWM,UNG,0.00405947799641115,18.46962420867085
UNG,VTI,0.003138534312897846,18.52588786669446
NVDA,XLP,0.0003561635915784806,18.549463644764973
UNG,VTV,0.0032257268364740068,18.600219221944716
TIP,VOO,0.0009148339792713524,18.659557289176963
UNG,VGT,0.0037642753400994045,18.739248994783345
EWJ,VWO,0.0038404859789252705,18.74668251236293
UNG,XLI,0.003399347584251113,18.773913441417136
TIP,VTI,0.0009785526763806706,18.83078320943154
BND,SPY,0.005201227781907981,18.864533985707624
UNG,VNQ,0.003596428411082302,18.946627496412923
UNG,VOO,0.003664774596482519,18.957607682286696
GLD,IEFA,0.003952528293680627,18.993643967232707
BND,VTI,0.0018386674311835975,19.01522919927581
JNK,SHY,0.0007940344513647683,19.064892858514433
EWJ,GLD,0.005398449742874964,19.067718374502512
BND,IVV,0.0019374097225616533,19.08037856252681
EWJ,GDX,0.0031190712304151745,19.10538707774839
IYR,VDC,0.0024234994456637403,19.106744665238907
VFH,XLF,0.011026339270664159,19.119267035979714
AGG,SPY,0.0019764421092703793,19.127179933284967
BND,IWD,0.011217530848190101,19.151411695232312
BND,VOO,0.0020021958978315713,19.171143099648113
TIP,VIS,0.0013787181882163992,19.21245723243756
AGG,IWD,0.00353210045453437,19.216363934754646
DBA,VDC,0.0023463546845649,19.219599392261934
TIP,VTV,0.004581031225302437,19.222434296110947
EFA,IEF,0.003089991985839386,19.253815392238963
TIP,VGT,0.0021724594911999005,19.2599459585878
EWJ,GDXJ,0.003431729282170662,19.2707628715772
IWD,TIP,0.005500311953054737,19.276394093456588
AGG,VTI,0.0020048244880727342,19.27744617850789
HYG,TIP,0.0002620059175495675,19.306730798192294
AGG,IVV,0.00211275736605295,19.343781507268066
NVDA,UNG,0.006072904184396385,19.3540776309226
DIA,HYG,0.005571546510188348,19.364878872189866
AGG,VOO,0.0021872093775546246,19.442508241055506
LQD,VTI,0.004428961608002339,19.45603523450688
MDY,NVDA,0.004949705803905566,19.456718084442993
LQD,SPY,0.004595179160655443,19.45745049590272
EWJ,SLV,0.0032962366089470127,19.47210567899816
LQD,VOO,0.004822666225174592,19.615034372372076
BND,VIS,0.002515562221796275,19.617837561827038
JNK,TIP,0.0002863577441451459,19.688522755483042
AGG,VIS,0.0025550700669301233,19.703112472495103
UNG,VUG,0.0047063845665751315,19.75008729440752
MDY,VTV,0.0039090787138237925,19.75374709843212
LQD,VTV,0.006000306892620981,19.824159077130016
BND,QQQ,0.0029469028519991006,19.847427074228907
LQD,VNQ,0.017085240552017128,19.911244120503078
EEM,SLV,0.0063790037336550745,19.932168132031787
IYR,UNG,0.004841633111879323,19.960231114064822
AGG,QQQ,0.0030973731089274066,20.035403866166945
IEF,XLI,0.0014171010947892212,20.068904379766952
IEF,VPU,0.007820100708369493,20.16679768793404
IWF,TIP,0.0009742837739358416,20.206856710248616
LQD,XLI,0.005471645790473516,20.209056043728577
GDXJ,VWO,0.0036821724002572584,20.23135731026578
SHY,TIP,0.0024708394702083803,20.251389742602633
DIA,VTI,0.007248400953500006,20.332040877648023
TLT,VHT,0.005707282852236787,20.335979553538838
IEF,XLU,0.0037736137859245905,20.400832494106403
EWJ,IEFA,0.00784074308425917,20.437893070860458
TIP,VUG,0.0017711183727521398,20.44671895476913
LQD,UNG,0.0059339254204209685,20.507009480612307
IVV,LQD,0.0062883171409474905,20.530581834669757
DIA,QQQ,0.010692413928937088,20.543238181470983
LQD,QUAL,0.0034540873538826257,20.544072257090082
AGG,VWO,0.008428056681382138,20.583002049031393
BND,VGT,0.00603162466503817,20.608276030291492
GDX,VWO,0.003885424190969151,20.62492623823762
TLT,XLV,0.006045717615842863,20.625422052350984
MDY,VDC,0.002702548202667023,20.69525635048899
MDY,QUAL,0.006740419469313992,20.696991344945605
AGG,VGT,0.00614174348411956,20.7135361186244
BND,JNK,0.0013040931989857735,20.753463276743286
EEM,GDXJ,0.016463871336563025,20.76599109846234
BND,VWO,0.00901440390482709,20.825852176678733
DIA,SHY,0.004075936433291084,20.834845251787367
IYR,NVDA,0.006108768522335818,20.8471239109962
LQD,QQQ,0.008249502393152796,20.851415286232324
LQD,VGT,0.011594016016629821,20.883264492971794
MDY,XLP,0.0020607987332030837,20.885569672782292
IYR,TIP,0.012934282876509547,20.907304516307683
BND,VPU,0.016960228500163745,20.90941663971538
LQD,VUG,0.00589218859798156,20.94624813207557
AGG,VPU,0.016039681468132862,20.956975232654056
DBA,USMV,0.008235195671597584,20.981335156061608
BND,XLU,0.016203730725234088,20.988328808148232
IEF,VTV,0.002172161338528945,21.005350641388198
EFA,EWJ,0.00937416849341861,21.02052319065483
AGG,XLU,0.015388178995389063,21.04529970291241
IEF,VIS,0.001992265475604292,21.058382558564038
IEF,VEA,0.00719382401266165,21.091852654369365
EEM,GDX,0.018037822359592087,21.11942152452592
EWJ,IEF,0.007390908800986204,21.135648202331836
TIP,XLK,0.004667674063151777,21.15346194394511
IEF,IWD,0.002831363395528779,21.163566271748117
IWF,LQD,0.004839208048482785,21.178301268050696
BND,HYG,0.0015797005289059057,21.188777352146847
LQD,VIS,0.007469352491105758,21.21768895029274
AGG,JNK,0.0015567075330086267,21.24136048486855
AGG,EFA,0.009588850474422022,21.25311207070987
MTUM,TIP,0.003964270685597921,21.356884074326054
IEF,VGT,0.003381838301426455,21.370851013706954
EWJ,TIP,0.00947285396697834,21.434683176531202
BND,VUG,0.003755513718594046,21.466496804240432
IEF,SPY,0.002189578734346448,21.483975231618057
IEF,QQQ,0.0023523209224565918,21.544960881774248
BND,VNQ,0.02221155911874109,21.56577575503136
IEF,VTI,0.002192863234865619,21.58576322527317
DIA,IEF,0.0015101450272121358,21.6098860699075
IEF,IVV,0.0022592827692937017,21.623865498449323
BND,EFA,0.010600080034330255,21.64065925781063
BND,IWF,0.0036825240075159422,21.643704475292576
IEF,VOO,0.0022985750754961347,21.683535104952146
AGG,HYG,0.001894948234662802,21.711219659461783
BND,IYR,0.022664960185319705,21.76611477881665
DIA,VOO,0.010913060862604544,21.778427645322477
DIA,IVV,0.010927899968996799,21.78633734926395
AGG,VUG,0.004101597498384387,21.789327573518662
VCR,VFH,0.022887842841589266,21.791196349152496
DIA,SPY,0.011263900117582687,21.87874820410916
AGG,IEFA,0.011789462099341409,21.903405521886608
DBA,XLF,0.012463665834156052,21.906789770471665
AGG,IWF,0.004044136265943788,21.98570030396745
AGG,VNQ,0.023381791389000893,21.994792384078778
